³âµµ,È¸Â÷,ÃßÃ·ÀÏ,1µî´çÃ·ÀÚ¼ö,1µî´çÃ·±Ý¾×,2µî´çÃ·ÀÚ¼ö,2µî´çÃ·±Ý¾×,3µî´çÃ·ÀÚ¼ö,3µî´çÃ·±Ý¾×,4µî´çÃ·ÀÚ¼ö,4µî´çÃ·±Ý¾×,5µî´çÃ·ÀÚ¼ö,5µî´çÃ·±Ý¾×,´çÃ·¹øÈ£1,´çÃ·¹øÈ£2,´çÃ·¹øÈ£3,´çÃ·¹øÈ£4,´çÃ·¹øÈ£5,´çÃ·¹øÈ£6,´çÃ·¹øÈ£º¸³Ê½º
,773,2017.09.23,11,1609403080 ,58,50871937 ,"2,094",1409061 ,"104,474",50000 ,"1,690,404",5000 ,8,12,19,21,31,35,44
,772,2017.09.16,10,1769608838 ,53,55648077 ,"2,027",1455032 ,"103,023",50000 ,"1,688,350",5000 ,5,6,11,14,21,41,32
,771,2017.09.09,4,4362644907 ,49,59355714 ,"2,054",1415984 ,"102,013",50000 ,"1,680,976",5000 ,6,10,17,18,21,29,30
,770,2017.09.02,8,2163099329 ,75,38455100 ,"2,302",1252882 ,"108,450",50000 ,"1,717,526",5000 ,1,9,12,23,39,43,34
,769,2017.08.26,9,1930760042 ,55,52657093 ,"1,962",1476117 ,"99,272",50000 ,"1,660,799",5000 ,5,7,11,16,41,45,4
,768,2017.08.19,13,1363572260 ,53,55743521 ,"1,849",1597841 ,"93,126",50000 ,"1,572,387",5000 ,7,27,29,30,38,44,4
,767,2017.08.12,15,1163768725 ,46,63248301 ,"1,905",1527256 ,"92,437",50000 ,"1,549,115",5000 ,5,15,20,31,34,42,22
,766,2017.08.05,8,2173637297 ,41,70687392 ,"1,734",1671386 ,"85,422",50000 ,"1,458,764",5000 ,9,30,34,35,39,41,21
,765,2017.07.29,15,1109214250 ,54,51352512 ,"2,121",1307419 ,"101,653",50000 ,"1,643,849",5000 ,1,3,8,12,42,43,33
,764,2017.07.22,7,2459975465 ,44,65226623 ,"1,908",1504178 ,"90,896",50000 ,"1,530,979",5000 ,7,22,24,31,34,36,15
,763,2017.07.15,8,2138130000 ,45,63352000 ,"2,019",1412006 ,"94,176",50000 ,"1,562,106",5000 ,3,8,16,32,34,43,10
,762,2017.07.08,10,1631432063 ,53,51302896 ,"2,044",1330261 ,"103,406",50000 ,"1,671,344",5000 ,1,3,12,21,26,41,16
,761,2017.07.01,7,2392730518 ,52,53683057 ,"2,139",1305058 ,"101,503",50000 ,"1,660,130",5000 ,4,7,11,24,42,45,30
,760,2017.06.24,8,2253299391 ,45,66764427 ,"1,749",1717782 ,"89,221",50000 ,"1,520,831",5000 ,10,22,27,31,42,43,12
,759,2017.06.17,6,3032670500 ,44,68924330 ,"1,761",1722130 ,"88,543",50000 ,"1,525,518",5000 ,9,33,36,40,42,43,32
,758,2017.06.10,8,2078969954 ,63,43999365 ,"2,170",1277401 ,"106,121",50000 ,"1,680,080",5000 ,5,9,12,30,39,43,24
,757,2017.06.03,21,739839858 ,68,38079993 ,"2,657",974573 ,"117,353",50000 ,"1,788,667",5000 ,6,7,11,17,33,44,1
,756,2017.05.27,5,3414434700 ,53,53686081 ,"1,866",1524846 ,"94,800",50000 ,"1,598,715",5000 ,10,14,16,18,27,28,4
,755,2017.05.20,8,2214427266 ,54,54677217 ,"1,845",1600309 ,"89,745",50000 ,"1,508,502",5000 ,13,14,26,28,30,36,37
,754,2017.05.13,5,3427542000 ,50,57125700 ,"1,856",1538947 ,"93,279",50000 ,"1,573,739",5000 ,2,8,17,24,29,31,32
,753,2017.05.06,6,2711105063 ,58,46743191 ,"1,934",1401813 ,"97,566",50000 ,"1,578,072",5000 ,2,17,19,24,37,41,3
,752,2017.04.29,9,1870358834 ,75,37407177 ,"2,036",1377966 ,"102,477",50000 ,"1,646,451",5000 ,4,16,20,33,40,43,7
,751,2017.04.22,8,2097968110 ,69,40540447 ,"2,210",1265743 ,"102,632",50000 ,"1,651,438",5000 ,3,4,16,20,28,44,17
